Date,Price,Open,High,Low,Volume,Chg%
15-06-2022,5043.8,5026.1,5086.1,5021.1,7.08K,0.48%
16-06-2022,5098.6,5065,5109.2,5029.5,7.78K,1.09%
17-06-2022,5083.4,5097.7,5117.9,5081.5,5.17K,-0.30%
20-06-2022,5073.5,5098.5,5098.5,5071.3,2.75K,-0.19%
21-06-2022,5076,5082.7,5095,5065,4.65K,0.05%
22-06-2022,5090.4,5069.1,5114.6,5052.2,6.31K,0.28%
23-06-2022,5059.4,5080,5106,5056,7.22K,-0.61%
24-06-2022,5062.3,5054.9,5074.1,5041,4.98K,0.06%
27-06-2022,5064.9,5073,5098,5057.5,6.28K,0.05%
28-06-2022,5082.2,5060.4,5096,5060.4,5.10K,0.34%
29-06-2022,5072.9,5077.9,5114.6,5064,7.29K,-0.18%
30-06-2022,5051.7,5074,5099.1,5043.3,8.36K,-0.42%
01-07-2022,5191.7,5100,5203.2,5072.7,13.27K,2.77%
04-07-2022,5212.2,5205,5230,5200,4.39K,0.39%
05-07-2022,5130.2,5219.9,5227.9,5125,7.77K,-1.57%
06-07-2022,5050,5138.2,5152,5045,8.88K,-1.56%
07-07-2022,5062.1,5066.1,5083,5056.2,4.89K,0.24%
08-07-2022,5077.9,5067,5097.3,5036.6,5.56K,0.31%
11-07-2022,5064.4,5070.9,5086.9,5061.6,3.27K,-0.27%
12-07-2022,5045.7,5068,5079.4,5043.8,5.63K,-0.37%
13-07-2022,5080.2,5043.1,5094.6,5016,7.58K,0.68%
14-07-2022,5022.8,5072.5,5072.9,5006.7,7.11K,-1.13%
15-07-2022,5010.7,5026.2,5028,4995.7,6.19K,-0.24%
18-07-2022,5036.1,5015,5062,5015,5.35K,0.51%
19-07-2022,5032,5030,5048.9,5021.1,4.61K,-0.08%
20-07-2022,5022.5,5027.5,5046.5,5019.1,4.97K,-0.19%
21-07-2022,5037.5,5000,5048,4970.3,7.87K,0.30%
22-07-2022,5064.4,5038.5,5087,5031.5,5.03K,0.53%
25-07-2022,5053.6,5067.3,5079.3,5044.6,4.71K,-0.21%
26-07-2022,5058.4,5059.8,5070.5,5046.5,4.81K,0.09%
27-07-2022,5072,5056.8,5075.3,5050.5,4.91K,0.27%
28-07-2022,5130.4,5076,5139.1,5076,3.70K,1.15%
29-07-2022,5142.6,5149,5150.1,5115.9,2.09K,0.24%
01-08-2022,5126.3,5125,5148.9,5111.5,0.23K,-0.32%
02-08-2022,5131,5156.3,5158.4,5113.5,0.02K,0.09%
03-08-2022,5169.4,5130,5245,5117.1,0.01K,0.75%
04-08-2022,5200.9,5165.1,5311.3,5155,0.01K,0.61%
05-08-2022,5230.1,5220.1,5240.1,5220.1,0.00K,0.56%
08-08-2022,5228.8,5179.3,5233.3,5179.3,5.68K,-0.02%
09-08-2022,5248.9,5235,5260,5227.9,2.65K,0.38%
10-08-2022,5224.1,5245,5262,5220.7,5.87K,-0.47%
11-08-2022,5233.6,5214.4,5252,5201.4,4.92K,0.18%
12-08-2022,5258.5,5238.2,5261,5226.3,4.57K,0.48%
16-08-2022,5183.7,5226.5,5226.5,5177,6.95K,-1.42%
17-08-2022,5154.3,5184.3,5196.5,5147,5.88K,-0.57%
18-08-2022,5160.3,5164.4,5187,5156.5,4.43K,0.12%
19-08-2022,5147.9,5152.4,5167.1,5143.5,3.95K,-0.24%
22-08-2022,5116.3,5140.9,5140.9,5097.1,5.09K,-0.61%
23-08-2022,5141.7,5121.1,5152,5105.1,5.18K,0.50%
24-08-2022,5143.9,5135,5156.9,5129,3.79K,0.04%
25-08-2022,5170.2,5149.7,5184.6,5149.7,5.44K,0.51%
26-08-2022,5123.8,5163.6,5168.5,5112,6.79K,-0.90%
29-08-2022,5125,5110,5136.9,5083,5.73K,0.02%
30-08-2022,5073.7,5115.1,5116.4,5070.1,5.67K,-1.00%
31-08-2022,5041.4,5050,5066.1,5033.3,3.02K,-0.64%
01-09-2022,5007,5020.2,5029.3,4987.6,7.26K,-0.68%
02-09-2022,5036.8,5005,5058.7,5005,4.33K,0.60%
05-09-2022,5043.3,5041,5052.2,5040.4,2.94K,0.13%
06-09-2022,5028.1,5055.5,5069.3,5023,4.58K,-0.30%
07-09-2022,5050.6,5020.7,5053.5,5000.7,5.63K,0.45%
08-09-2022,5035.6,5047,5074.3,5020.1,5.42K,-0.30%
09-09-2022,5052.9,5038.6,5073.9,5035,5.42K,0.34%
12-09-2022,5063.1,5050.5,5078,5037.8,7.04K,0.20%
13-09-2022,5013.8,5052.5,5057.3,4997.2,9.98K,-0.97%
14-09-2022,5001.8,5006.9,5014.8,5000,5.42K,-0.24%
15-09-2022,4931.2,4994.2,4994.2,4917,8.70K,-1.41%
16-09-2022,4938,4922,4950.4,4895.1,7.55K,0.14%
19-09-2022,4930.2,4925.7,4941,4904.4,5.38K,-0.16%
20-09-2022,4917.5,4940,4945.7,4910,4.40K,-0.26%
21-09-2022,4944.3,4918.9,4956.9,4911.4,5.55K,0.54%
22-09-2022,5000,4931.4,5017.5,4931.4,8.73K,1.13%
23-09-2022,4940.1,5000.5,5005.7,4925,8.07K,-1.20%
26-09-2022,4915,4935,4968.8,4910.5,7.10K,-0.51%
27-09-2022,4931.9,4919,4949.9,4908.2,7.05K,0.34%
28-09-2022,4975,4916,4989,4898,4.72K,0.87%
29-09-2022,4999.4,4965,5013,4965,0.62K,0.49%
30-09-2022,5009.4,4997.1,5068.9,4993.5,0.12K,0.20%
03-10-2022,5016.5,5025,5025,5013,0.01K,0.14%
04-10-2022,5107,5100,5148,5080,0.01K,1.80%
05-10-2022,5169.2,5169.2,5169.2,5169.2,0,1.22%
06-10-2022,5197.2,5183.6,5209.3,5179,7.45K,0.54%
07-10-2022,5196,5190.4,5212,5163.7,7.68K,-0.02%
10-10-2022,5102.3,5168.5,5168.5,5090.1,10.82K,-1.80%
11-10-2022,5109.6,5091.5,5121.8,5071,7.87K,0.14%
12-10-2022,5090.5,5081.4,5104.9,5076.2,6.02K,-0.37%
13-10-2022,5088.4,5089.1,5116,5040,11.08K,-0.04%
14-10-2022,5026,5079.4,5097.4,5017.4,10.51K,-1.23%
17-10-2022,5047.3,5038.2,5074.7,5033.4,6.90K,0.42%
18-10-2022,5041.4,5036.4,5054.5,5031,6.46K,-0.12%
19-10-2022,5019.9,5039.7,5048,5006.9,7.78K,-0.43%
20-10-2022,5014.3,5010,5041,5006.5,7.14K,-0.11%
21-10-2022,5062.6,5006.9,5064.9,4980.8,12.24K,0.96%
